X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,Range,Packets Received,
383.44,423.65,437.59,544.88,548.81,602.76,645.89,715.19,891.77,963.66,50,0
20.22,71.04,87.13,528.89,568.04,778.16,791.73,832.62,870.01,925.6,50,0
118.27,143.35,414.66,461.48,521.85,639.92,780.53,799.16,944.67,978.62,50,0
18.79,264.56,456.15,568.43,612.1,616.93,617.64,681.82,774.23,943.75,50,0
60.23,128.93,210.38,315.43,359.51,363.71,437.03,666.77,670.64,697.63,50,0
102.04,161.31,208.88,244.43,253.29,438.6,466.31,570.2,653.11,988.37,50,0
96.1,97.1,110.38,138.18,158.97,196.58,368.73,656.33,820.99,837.94,50,0
39.19,118.73,120.2,282.81,296.14,468.65,604.85,739.26,976.46,976.76,50,0
64.15,93.94,265.39,317.98,414.26,523.25,566.6,575.95,692.47,929.3,50,0
4.7,20.11,131.8,183.19,289.41,318.57,586.51,667.41,716.33,828.94,50,0
223.08,248.75,270.01,572.25,576.16,592.04,677.82,735.19,952.75,962.19,50,0
297.44,396.51,447.13,581.27,692.53,699.48,813.8,846.41,881.1,881.74,50,0
19.19,290.08,301.57,423.86,501.32,606.39,643.99,660.17,725.25,956.08,50,0
135.47,298.28,428.77,431.42,569.96,574.33,590.87,618.02,652.1,653.2,50,0
100.23,367.56,435.86,703.89,714.24,806.19,891.92,896.55,919.48,998.85,50,0
69.17,123.82,149.45,162.49,407.18,569.1,615.56,807.32,848.01,868.13,50,0
11.71,171.63,359.98,453.54,697.43,722.06,729.99,855.8,866.38,975.52,50,0
18.52,31.84,54.34,200.0,223.92,345.35,521.04,704.41,793.7,928.08,50,0
164.69,237.89,311.94,535.63,577.23,589.91,613.97,621.48,730.12,934.21,50,0
58.03,186.19,209.84,227.41,254.36,398.22,434.42,490.46,739.55,944.37,50,0
24.68,67.25,179.6,311.8,377.75,453.7,536.58,679.39,696.34,896.67,50,0
20.65,216.9,263.32,320.02,383.46,588.32,663.08,758.38,831.05,990.34,50,0
185.64,215.51,273.54,628.98,687.49,730.86,798.05,872.65,947.37,952.79,50,0
25.66,207.47,213.31,253.94,277.63,374.17,424.69,463.58,518.2,586.78,50,0
117.53,132.07,144.85,183.28,396.06,488.06,517.38,565.42,716.86,863.86,50,0
83.42,292.15,355.61,552.19,584.48,748.66,765.33,903.72,940.43,961.94,50,0
16.43,63.96,100.29,240.83,281.73,485.63,586.41,669.92,785.15,929.53,50,0
231.7,338.16,630.45,799.2,874.29,876.51,941.38,949.32,961.57,977.5,50,0
13.24,148.14,293.02,347.23,478.37,497.39,617.88,639.47,848.94,981.83,50,0
97.84,136.9,189.85,224.32,368.58,511.32,822.12,862.19,960.83,972.92,50,0
11.43,53.43,81.1,132.49,232.23,333.15,407.24,725.59,774.05,906.56,50,0
79.52,89.6,146.95,245.37,420.54,557.37,672.05,727.04,770.58,860.55,50,0
55.37,131.48,262.12,270.33,283.52,301.6,379.93,456.14,683.28,695.63,50,0
56.85,181.15,259.42,272.82,373.81,587.6,697.0,777.41,778.7,788.55,50,0
44.61,76.96,197.05,306.81,370.85,459.86,518.84,577.54,799.8,959.43,50,0
35.36,128.86,277.6,392.68,430.4,510.02,536.18,645.57,681.39,956.41,50,0
187.13,399.03,456.91,458.6,543.81,690.03,724.17,882.04,903.98,904.04,50,0
160.54,240.02,327.72,458.14,590.98,636.06,699.62,756.78,796.39,959.17,50,0
159.41,398.43,457.22,575.75,628.9,815.52,820.77,857.72,908.84,951.87,50,0
16.33,33.3,62.71,185.23,258.68,355.37,356.71,424.03,849.04,958.98,50,0
